text,label
Verify your bank details to avoid suspension 653,1
Project meeting next week 611,0
Reminder: submit assignment 729,0
Urgent! Your account has been suspended. Click here to verify now 955,1
Unusual activity detected. Confirm immediately 548,1
Please review the attached document 917,0
Team meeting rescheduled 674,0
Project meeting next week 241,0
Team meeting rescheduled 703,0
Verify your bank details to avoid suspension 962,1
Your account will be blocked. Act now 512,1
Your account will be blocked. Act now 333,1
Let's catch up this weekend 208,0
Happy birthday! Have a great day 265,0
Unusual activity detected. Confirm immediately 278,1
Meeting scheduled tomorrow at 10 AM 795,0
Your order has been delivered 735,0
Verify your bank details to avoid suspension 895,1
Unusual activity detected. Confirm immediately 764,1
Click this link to secure your account 766,1
Unusual activity detected. Confirm immediately 850,1
Click this link to secure your account 563,1
Security alert! Login required 190,1
Project meeting next week 946,0
Urgent! Your account has been suspended. Click here to verify now 587,1
Urgent! Your account has been suspended. Click here to verify now 940,1
Urgent! Your account has been suspended. Click here to verify now 664,1
Invoice attached for your purchase 437,0
Congratulations! You won a prize. Claim now 290,1
Update your payment information now 167,1
Click this link to secure your account 522,1
Your order has been delivered 143,0
Lunch plan today? 834,0
Your order has been delivered 411,0
Let's catch up this weekend 486,0
Click this link to secure your account 686,1
Congratulations! You won a prize. Claim now 482,1
Invoice attached for your purchase 638,0
Lunch plan today? 823,0
Update your payment information now 929,1
Unusual activity detected. Confirm immediately 186,1
Invoice attached for your purchase 954,0
Urgent! Your account has been suspended. Click here to verify now 487,1
Team meeting rescheduled 749,0
Happy birthday! Have a great day 589,0
Lunch plan today? 542,0
Update your payment information now 311,1
Urgent! Your account has been suspended. Click here to verify now 219,1
Happy birthday! Have a great day 697,0
Unusual activity detected. Confirm immediately 308,1
Your password expires today. Login immediately 463,1
Update your payment information now 562,1
Verify your bank details to avoid suspension 605,1
Invoice attached for your purchase 549,0
Project meeting next week 538,0
Team meeting rescheduled 725,0
Urgent! Your account has been suspended. Click here to verify now 121,1
Project meeting next week 426,0
Congratulations! You won a prize. Claim now 665,1
You have received a reward. Click to claim 242,1
Your order has been delivered 712,0
Invoice attached for your purchase 897,0
Your password expires today. Login immediately 698,1
Project meeting next week 973,0
Happy birthday! Have a great day 901,0
Click this link to secure your account 913,1
Unusual activity detected. Confirm immediately 624,1
Let's catch up this weekend 789,0
Your order has been delivered 256,0
Your order has been delivered 972,0
